[2026-01-14T12:57:42.353+0000] {client.py:414} ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500ce60>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:57:42.354+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy XMD: API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500ce60>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)")) | ngủ 3.0s
[2026-01-14T12:57:45.358+0000] {log.py:232} WARNING - 2026-01-14 12:57:45 - vnstock.core.utils.client - ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500dd30>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:57:45.358+0000] {client.py:414} ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500dd30>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:57:45.359+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy XMC: API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500dd30>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)")) | ngủ 3.0s
[2026-01-14T12:57:48.363+0000] {log.py:232} WARNING - 2026-01-14 12:57:48 - vnstock.core.utils.client - ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe951ab260>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:57:48.363+0000] {client.py:414} ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe951ab260>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:57:48.364+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy XLV: API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe951ab260>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)")) | ngủ 3.0s
[2026-01-14T12:57:51.373+0000] {log.py:232} WARNING - 2026-01-14 12:57:51 - vnstock.core.utils.client - ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe94fef110>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:57:51.373+0000] {client.py:414} ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe94fef110>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:57:51.374+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy XHC: API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe94fef110>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)")) | ngủ 3.0s
[2026-01-14T12:57:54.379+0000] {log.py:232} WARNING - 2026-01-14 12:57:54 - vnstock.core.utils.client - ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500c5f0>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:57:54.378+0000] {client.py:414} ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500c5f0>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:57:54.380+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy XDH: API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500c5f0>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)")) | ngủ 3.0s
[2026-01-14T12:57:57.384+0000] {log.py:232} WARNING - 2026-01-14 12:57:57 - vnstock.core.utils.client - ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500e990>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:57:57.384+0000] {client.py:414} ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500e990>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:57:57.385+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy XDC: API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500e990>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)")) | ngủ 3.0s
